feature,importance
RevenueCenterName_encoded,0.113804124
RevenueCenter,0.07661062
MealPeriod_encoded,0.07522611
is_zero,0.06294356
MealPeriod_num,0.06140548
IsSummerEvent,0.049073435
Year,0.045736298
Revenue_lag_14,0.03898622
Revenue_lag_3,0.03682247
Month_Weekend,0.03291836
Revenue_lag_1,0.031165998
IsPreRamadan,0.02995883
Revenue_lag_7,0.023458187
Revenue_lag_2,0.023260366
Month_cos,0.022238253
DayOfWeek_cos,0.021017112
DayOfYear,0.017897258
WeekOfYear,0.01752689
DayOfYear_sin,0.017254496
DayOfYear_cos,0.0163631
DayOfWeek_sin,0.015366056
IsRamadan,0.014881308
Weekend_Lunch,0.014025235
IsWeekend,0.01324384
IslamicPeriod_num,0.012620192
Revenue_rolling_std_7,0.011825603
IsLast10Ramadan,0.011342225
DayOfWeek,0.010765295
Revenue_rolling_mean_14,0.0094360085
Day,0.00909949
IsQuarterEnd,0.008149231
Revenue_rolling_mean_7,0.008105668
Revenue_rolling_std_14,0.007654011
Month,0.007554295
IsPreEvent,0.0067373263
IsFoodFestival,0.0064514102
Month_sin,0.0060701272
IsDSF,0.005555077
Weekend_Dinner,0.002531242
IsMonthEnd,0.0012285415
IsNewYear,0.0011205848
Quarter,0.00092104624
Weekend_Breakfast,0.0007279769
IsMonthStart,0.00046920739
IsMarathon,0.00045183997
